country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
Poland,ir it Partners Fund SCA,Capital Partners Sp.,,,Private Equity,ICT,18333333.0,EUR,,https://spirecap.eu/
Portugal,Biovance Capital Fund FCR,va nc Capital Partners,EIF Enabling sectors,Life science and health,Venture Capital,Life Science,17500000.0,EUR,,https://www.biovancecapital.com
Portugal,Growth Blue,Sociedade de Capital de,EIF C&E Solutions,Blue Economy,Private Equity,Generalist,10500000.0,EUR,Praceta Outeiro da vela 135,https://www.growthpartners.capital/
Portugal,Oxy Capital III,"Oxy Capital - SGOIC, S.A.",EIF CMU,Growth and expansion,Private Equity,Generalist,15000000.0,EUR,Av. Eng. Duarte Pacheco,http://www.oxycapital.com
Slovenia,Vesna Deep Tech Venture Fund SCSp,Vesna Advisors,EIF C&E Solutions,solutions;Industrial decarbonisation &amp; environmental sustainability;Industrial Technologies;Life science and,TTA,,8222000.0,EUR,Breg pri Litiji 45,https://vesnavc.com/
Slovenia,Vesna Deep Tech Venture Fund SCSp,Vesna Advisors,,s o l u t i o n s ;I n d u s t r ia l d e c a r b o n i s a t io n & a m p ; e n v ir o n m e n t a l s u s t a i n a b i l it y ; I n d u s t r i a l T e c h n o l o g i e s ; L i f e s c ie n c e a n d,TTA,,6778000.0,EUR,Breg pri Litiji 45,https://vesnavc.com/
Slovenia,Vesna Deep Tech Venture Fund SCSp,Vesna Advisors,EIF Enabling sectors,solutions;Industrial decarbonisation &amp; environmental sustainability;Industrial Technologies;Life science and,TTA,,5000000.0,EUR,Breg pri Litiji 45,https://vesnavc.com/
Spain,Alteralia III SCA SICAV-RAIF,"antra Multi Asset SGIIC,",EIF CMU,Debt and hybrid debt-equity funds,,,22557698.0,EUR,,www.nmas1.es
Spain,no Private Debt II S.C.A. SICAV-,Arcano Capital SGIIC,EIF CMU,Debt and hybrid debt-equity funds,,,15000000.0,EUR,,https://www.arcanopartners.com/
Spain,"Arta Capital Fund III, FCR","Arta Capital SGEIC, S.A.",EIF CMU,Growth and expansion,Private Equity,,40000000.0,EUR,,www.artacapital.es
Spain,Creas Impacto II FESE,IM TO,,Social Entrepreneurship;Social impact Investing &amp; Social Innovation,Venture Capital,,20000000.0,EUR,CALLE MARIA DE MOLINA,https://creas.es/en/about-us/
Spain,FONDO ISETEC FCR,tn rs ro,EIF CMU,Growth and expansion,Private Equity,Generalist,30000000.0,EUR,"Calle Sagasta, 18 3 Plt",http://www.axonpartnersgroup.com
Spain,"Fons FITA, FCRE",ro ture Partners,,Artificial Intelligence (AI);Industrial Technologies;Life science and health;Other Digital;Quantum Computing,TTA,Generalist,5000000.0,EUR,,
Spain,IB Deuda Impacto Espana Fund FESE,IC SA,EIF CMU,Debt and hybrid debt-equity funds,,,30000000.0,EUR,Velazquez 14,https://www.impactbridge.com/
Spain,ie rte ScienceTech Bullnet Capital,Bullnet Gestion SGEIC SA,,,TTA,,15000000.0,EUR,"Paseo Del Club Deportivo, 1",https://bullnetcapital.com/
Spain,nn ie rte ScienceTech Bullnet Capital,Bullnet Gestion SGEIC SA,EIF Enabling sectors,,TTA,ICT,13000000.0,EUR,"Paseo Del Club Deportivo, 1",https://bullnetcapital.com/
Spain,Invivo Ventures III,"iv Partners, SGEIC,",EIF Enabling sectors,Life science and health,TTA,Life Science,25000000.0,EUR,,https://invivo.partners/
Spain,ll ealth Innovation,"abys Partners SGEIC,",EIF Enabling sectors,Life science and health,Venture Capital,Life Science,40000000.0,EUR,Ps De Gracia Num.53,https://asabys.com/
Spain,SC Climate Impact Fund III,Suma Capital SGEIC SA,ra nds,,Infrastructure,Infrastructure,75000000.0,EUR,Av. Diagonal 640 5F,http://sumacapital.com/en/
Spain,it it frastructure,it tal,ra nds,Clean Energy Transition-Climate;Environment and resources;Sustainable Transport,Infrastructure,Infrastructure,100624999.0,EUR,"CALLE SERRANO, 21 6 PLT",www.whitesummitcap.com
Sweden,Celero Capital Fund (E) AB,ro ital Fund,EIF CMU,Growth and expansion,Private Equity,Generalist,39000000.0,EUR,,https://celerocapital.com/
Sweden,eEquity Growth AB,eEquity Services AB,EIF CMU,,Private Equity,Generalist,199999625.0,SEK,Kungsgatan 27 7 tr,https://eequity.se
Sweden,eEquity Growth AB,eEquity Services AB,,,Private Equity,,199999625.0,SEK,Kungsgatan 27 7 tr,https://eequity.se
Sweden,FSG Fund II AB,FSG Management AB,EIF Enabling sectors,Life science and health,Venture Capital,Science,233000000.0,SEK,Stortorget 1,https://www.fsgfond.com/en/
Sweden,Helix Kapital 3.2 AB,Helix Kapital 3.0 AB,EIF CMU,Defense;Growth and expansion,Private Equity,,300000000.0,SEK,"Kungsgatan 5, 3 tr",https://www.helixkapital.se/en/
Sweden,LV II Conopus AB,in re,,Other Digital,Venture Capital,,150000000.0,SEK,C/o Wework,https://www.luminarventures.com/
Sweden,Niam Infra Fund AB,Niam AB,Infrastructure Funds,Clean Energy Transition-Climate;Digital Connectivity &amp; Data Infrastructure;Sustainable Transport,Infrastructure,,66500000.0,EUR,Stureplan 3,www.niam.se
Sweden,NVC Fund (E) AB,lm rr skenet,EIF C&E Solutions,s o l u ti o n s ; I n d u s t r ia l d e c a r b o n is a t i o n & a m p ; e n v ir o n m e n t a l s u s t a in a b i l i ty ; M o b i lit y a n d t r a n s p o rt s o l u tio n s ; Other,Social Impact,,30000000.0,EUR,,https://www.norrsken.vc
